Customer Name,Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
Retail 2,US - Oracle Retail (Search),"$26,530.13",$0.00,"2,300",0,"2,300",0
Insurance 2,Insurance - Web Traffic,"$19,835.91",$0.00,"1,502",0,"1,502",0
Testing,MTS 2023,"$12,674.25",$0.00,"1,337",0,"1,337",0
Enterprise Solution,,"$5,828.88",$0.00,"2,757",0,"3,307",0
Retail,SFCC_3MAY_2022_US,"$5,522.78",$0.00,"1,007",0,"1,007",0
Aspire Service Now,ServiceNow_CSM_ traffic-Search-Ads_May2023,"$5,167.05",$0.00,300,0,300,0
Testing,Retail Testing 2023,"$4,932.15",$0.00,639,0,639,0
Insurance 2,Insurance - Web Traffic #2,"$4,659.88",$0.00,315,0,315,0
Retail,Connected Store - US 2018,"$4,636.36",$0.00,984,0,984,0
Aspire Service Now,ServiceNow-ITOM-SearchAds-May2023,"$4,535.10",$0.00,375,0,375,0
Aspire_BFS,Temenos preferred partner | UK,"$4,311.19",$0.00,"2,495",0,"2,495",0
Aspire_BFS,Temenos Preferred partner | US,"$4,307.10",$0.00,603,0,603,0
Insurance 2,Insurance Search ad - US (August 2024),"$3,922.93",$0.00,"1,571",0,"1,571",0
Digital,DRAI tool,"$3,859.74",$0.00,"1,253",0,"1,253",0
Oracle 2,Oracle EBA,"$3,496.68",$0.00,299,0,299,0
Oracle 2,eQuipMe_oracle_mobile_ERP_ website_traffic_Feb,"$3,467.04",$0.00,595,0,595,0
Retail,Connected Store - UK 2018,"$3,088.42",$0.00,807,0,807,0
Oracle,,"$2,839.50",$0.00,"2,322",0,"3,692",0
Aspire Cloud,Apr_1st_AWS_cloud_migration_services,"$2,771.32",$0.00,"1,239",0,"1,239",0
Aspire Cloud,AWS_Migration_Aug_30th,"$2,616.77",$0.00,358,0,358,0
Insurance 2,Website traffic-Insurance-Oct,"$2,598.91",$0.00,508,0,508,0
ASPIRE -Corp Comm,,"$2,585.78",$0.00,"22,135",0,"22,135",0
Aspire System - Software Engineering,Edtech-US-Feb-2023,"$2,250.94",$0.00,851,0,851,0
Aspire System - Software Engineering,Modernization-US-2023,"$2,085.46",$0.00,336,0,336,0
Retail,Oracle Search ad - US,"$2,062.72",$0.00,"1,501",0,"1,501",0
Aspire Cloud,AWS_Managed_Services_8th_Nov,"$2,050.92",$0.00,"1,186",0,"1,186",0
Aspire Service Now,ServiceNow Implementation Website -Search-Apirl2023,"$1,990.18",$0.00,"2,471",0,"2,471",0
Testing,APTf Webinar 2023,"$1,945.55",$0.00,194,0,194,0
Aspire Cloud,Cloud_modernization_sep_15th,"$1,924.82",$0.00,200,0,200,0
Enterprise Integration,Dell Boomi Sign-up USA,"$1,853.70",$0.00,139,0,139,0
Codespell,Codespell US,"$1,849.03",$0.00,835,0,835,0
Aspire System - Software Engineering,Modernization-UK-2023,"$1,829.50",$0.00,372,0,372,0
Digital,hyper lending,"$1,823.10",$0.00,367,0,367,0
Aspire System - Software Engineering,Cloud-native-Apr-Campaign,"$1,691.74",$0.00,482,0,482,0
Aspire System - Software Engineering,Product-Engineering-Aug,"$1,691.52",$0.00,111,0,111,0
Insurance 2,Search-Insurance - nov - new,"$1,691.33",$0.00,382,0,382,0
Software Engineering,,"$1,643.14",$0.00,"1,259",0,"1,259",0
Aspire Cloud,Mar_10th_AWS cloud security optimization,"$1,609.54",$0.00,"1,448",0,"1,448",0
Aspire Service Now,ServiceNow _ITSM_March_2023_Website traffic-Search,"$1,591.12",$0.00,159,0,159,0
Aspire Cloud,AWS_cost_opt_Sep_8th,"$1,584.79",$0.00,229,0,229,0
Digital,Temenos EU,"$1,504.89",$0.00,599,0,599,0
Digital,Hyper Automation Webinar,"$1,484.80",$0.00,312,0,312,0
Aspire Service Now,ServiceNowITSM_Sol_page-Search-Ads_Aug2023,"$1,446.28",$0.00,188,0,188,0
Digital,Credit Union Search Campaign,"$1,368.12",$0.00,997,0,997,0
Aspire Cloud,DB_Migration_Services_Aug_4th,"$1,347.80",$0.00,483,0,483,0
