Campaign Name,Campaign Group Name,Campaign Status,Cost,Clicks,CTR
US - Oracle Retail (Search),,Paused,"$26,530.13","2,300",7.15%
Insurance - Web Traffic,,Paused,"$19,835.91","1,502",4.83%
MTS 2023,,Paused,"$12,674.25","1,337",5.41%
SFCC_3MAY_2022_US,,Paused,"$5,522.78","1,007",3.09%
ServiceNow_CSM_ traffic-Search-Ads_May2023,,Paused,"$5,167.05",300,5.59%
Retail Testing 2023,,Paused,"$4,932.15",639,2.71%
Insurance - Web Traffic #2,,Paused,"$4,659.88",315,5.60%
Connected Store - US 2018,,Paused,"$4,636.36",984,1.80%
ServiceNow-ITOM-SearchAds-May2023,,Paused,"$4,535.10",375,9.16%
Temenos preferred partner | UK,,Paused,"$4,311.19","2,495",2.87%
Temenos Preferred partner | US,,Paused,"$4,307.10",603,6.53%
Insurance Search ad - US (August 2024),,Paused,"$3,922.93","1,571",16.47%
DRAI tool,,Paused,"$3,859.74","1,253",0.08%
Oracle EBA,,Paused,"$3,496.68",299,5.20%
eQuipMe_oracle_mobile_ERP_ website_traffic_Feb,,Paused,"$3,467.04",595,15.85%
Connected Store - UK 2018,,Paused,"$3,088.42",807,2.30%
Apr_1st_AWS_cloud_migration_services,,Paused,"$2,771.32","1,239",5.55%
AWS_Migration_Aug_30th,,Paused,"$2,616.77",358,10.80%
Website traffic-Insurance-Oct,,Paused,"$2,598.91",508,5.71%
Edtech-US-Feb-2023,,Paused,"$2,250.94",851,5.58%
Modernization-US-2023,,Paused,"$2,085.46",336,5.09%
Oracle Search ad - US,,Paused,"$2,062.72","1,501",1.26%
AWS_Managed_Services_8th_Nov,,Paused,"$2,050.92","1,186",3.35%
ServiceNow Implementation Website -Search-Apirl2023,,Paused,"$1,990.18","2,471",9.27%
APTf Webinar 2023,,Paused,"$1,945.55",194,4.16%
Cloud_modernization_sep_15th,,Paused,"$1,924.82",200,11.72%
Dell Boomi Sign-up USA,,Paused,"$1,853.70",139,1.37%
Codespell US,,Paused,"$1,849.03",835,4.00%
Modernization-UK-2023,,Paused,"$1,829.50",372,6.39%
hyper lending,,Paused,"$1,823.10",367,4.06%
Cloud-native-Apr-Campaign,,Paused,"$1,691.74",482,4.72%
Product-Engineering-Aug,,Paused,"$1,691.52",111,4.09%
Search-Insurance - nov - new,,Paused,"$1,691.33",382,1.38%
Mar_10th_AWS cloud security optimization,,Paused,"$1,609.54","1,448",4.51%
ServiceNow _ITSM_March_2023_Website traffic-Search,,Paused,"$1,591.12",159,4.75%
AWS_cost_opt_Sep_8th,,Paused,"$1,584.79",229,4.29%
Temenos EU,,Paused,"$1,504.89",599,3.97%
Hyper Automation Webinar,,Paused,"$1,484.80",312,2.78%
ServiceNowITSM_Sol_page-Search-Ads_Aug2023,,Paused,"$1,446.28",188,10.89%
Credit Union Search Campaign,,Paused,"$1,368.12",997,6.43%
DB_Migration_Services_Aug_4th,,Paused,"$1,347.80",483,3.88%
Cloud Migration Video,,Paused,"$1,313.99",199,0.27%
AWS_SO_Cloud_OP_Feb_3rd,,Paused,"$1,313.61","1,003",4.15%
ServiceNow_ITOM_April_2023_Website traffic-Search Ads,,Paused,"$1,298.88","1,278",6.30%
ServiceNow-Managed-Services-SearchAds-May2023,,Paused,"$1,259.15",87,3.89%
NRF 2019 US,,Paused,"$1,241.28",341,2.96%
SEAS-Search-Apr,,Paused,"$1,198.39",707,4.75%
Cloud_ISG_WP_Oct_17th,,Paused,"$1,171.18","1,209",6.93%
Performance-Max-Cloud-Native-August,,Paused,"$1,125.86","4,085",1.42%
Oct2023_ServiceNow_Live_webinar_Retargeting-Display-Ads,,Paused,"$1,106.17",429,0.32%
