Quarter,Clicks,Impressions,Avg. CPC,Cost
4th quarter 2016,"4,360","2,455,318",$1.53,"$6,675.61"
1st quarter 2017,"3,373","948,805",$1.29,"$4,334.67"
2nd quarter 2017,"4,717","1,090,611",$0.75,"$3,541.76"
3rd quarter 2017,"1,848","501,783",$1.14,"$2,100.25"
4th quarter 2017,"5,977","1,373,511",$1.02,"$6,126.41"
1st quarter 2018,"8,058","1,526,942",$0.67,"$5,398.05"
2nd quarter 2018,"3,672","687,533",$1.75,"$6,424.65"
3rd quarter 2018,768,"226,948",$3.19,"$2,450.83"
4th quarter 2018,"8,000","1,813,546",$0.45,"$3,578.58"
1st quarter 2019,996,"177,591",$1.47,"$1,465.49"
2nd quarter 2019,"1,658","214,325",$2.14,"$3,543.86"
3rd quarter 2019,"1,773","525,314",$1.19,"$2,106.16"
4th quarter 2019,128,"11,813",$4.82,$617.59
1st quarter 2020,"2,163","1,544,123",$0.85,"$1,830.28"
2nd quarter 2020,"5,074","1,604,036",$0.13,$676.32
3rd quarter 2020,930,"37,318",$4.52,"$4,206.89"
4th quarter 2020,"1,828","652,729",$1.45,"$2,643.88"
1st quarter 2021,49,"19,641",$4.87,$238.46
2nd quarter 2021,96,"6,922",$10.89,"$1,045.13"
3rd quarter 2021,"2,679","729,234",$1.16,"$3,110.35"
4th quarter 2021,"26,014","1,003,948",$0.10,"$2,689.65"
1st quarter 2022,"1,648","252,581",$1.40,"$2,304.72"
2nd quarter 2022,"3,816","207,429",$2.81,"$10,725.46"
3rd quarter 2022,"4,365","352,065",$2.34,"$10,198.93"
4th quarter 2022,"8,155","1,054,358",$1.91,"$15,590.83"
1st quarter 2023,"18,867","2,893,287",$2.52,"$47,514.89"
2nd quarter 2023,"22,505","1,942,052",$2.14,"$48,181.13"
3rd quarter 2023,"17,477","1,489,364",$2.37,"$41,406.91"
4th quarter 2023,"9,645","792,161",$1.02,"$9,843.54"
1st quarter 2024,"2,375","22,291",$1.10,"$2,611.45"
2nd quarter 2024,"3,365","23,050",$1.19,"$3,997.14"
3rd quarter 2024,"19,944","343,999",$0.28,"$5,555.74"
4th quarter 2024,707,"23,405",$2.51,"$1,772.58"
1st quarter 2025,"2,694","20,194",$0.73,"$1,973.47"
2nd quarter 2025,"1,779","10,836",$0.25,$449.20
