Day,Start Hour,Impressions
Sunday,12 AM,89
Sunday,1 AM,113
Sunday,2 AM,136
Sunday,3 AM,114
Sunday,4 AM,76
Sunday,5 AM,88
Sunday,6 AM,78
Sunday,7 AM,89
Sunday,8 AM,125
Sunday,9 AM,123
Sunday,10 AM,109
Sunday,11 AM,125
Sunday,12 PM,134
Sunday,1 PM,118
Sunday,2 PM,101
Sunday,3 PM,83
Sunday,4 PM,70
Sunday,5 PM,64
Sunday,6 PM,54
Sunday,7 PM,72
Sunday,8 PM,28
Sunday,9 PM,51
Sunday,10 PM,88
Sunday,11 PM,88
Monday,12 AM,157
Monday,1 AM,194
Monday,2 AM,189
Monday,3 AM,147
Monday,4 AM,173
Monday,5 AM,157
Monday,6 AM,167
Monday,7 AM,134
Monday,8 AM,156
Monday,9 AM,167
Monday,10 AM,156
Monday,11 AM,187
Monday,12 PM,155
Monday,1 PM,114
Monday,2 PM,98
Monday,3 PM,60
Monday,4 PM,64
Monday,5 PM,53
Monday,6 PM,72
Monday,7 PM,65
Monday,8 PM,69
Monday,9 PM,105
Monday,10 PM,139
Monday,11 PM,122
Tuesday,12 AM,176
Tuesday,1 AM,51
Tuesday,2 AM,53
Tuesday,3 AM,39
Tuesday,4 AM,36
Tuesday,5 AM,87
Tuesday,6 AM,93
Tuesday,7 AM,90
Tuesday,8 AM,199
Tuesday,9 AM,50
Tuesday,10 AM,46
Tuesday,11 AM,44
Tuesday,12 PM,42
Tuesday,1 PM,48
Tuesday,2 PM,54
Tuesday,3 PM,72
Tuesday,4 PM,58
Tuesday,5 PM,53
Tuesday,6 PM,26
Tuesday,7 PM,39
Tuesday,8 PM,30
Tuesday,9 PM,21
Tuesday,10 PM,38
Tuesday,11 PM,4
Wednesday,12 AM,66
Wednesday,1 AM,37
Wednesday,2 AM,77
Wednesday,3 AM,36
Wednesday,4 AM,38
Wednesday,5 AM,47
Wednesday,6 AM,45
Wednesday,7 AM,37
Wednesday,8 AM,52
Wednesday,9 AM,40
Wednesday,10 AM,54
Wednesday,11 AM,77
Wednesday,12 PM,83
Wednesday,1 PM,71
Wednesday,2 PM,53
Wednesday,3 PM,69
Wednesday,4 PM,79
Wednesday,5 PM,52
Wednesday,6 PM,54
Wednesday,7 PM,57
Wednesday,8 PM,61
Wednesday,9 PM,67
Wednesday,10 PM,44
Wednesday,11 PM,26
Thursday,12 AM,25
Thursday,1 AM,14
Thursday,2 AM,16
Thursday,3 AM,15
Thursday,4 AM,22
Thursday,5 AM,7
Thursday,6 AM,19
Thursday,7 AM,26
Thursday,8 AM,25
Thursday,9 AM,37
Thursday,10 AM,31
Thursday,11 AM,46
Thursday,12 PM,51
Thursday,1 PM,33
Thursday,2 PM,37
Thursday,3 PM,33
Thursday,4 PM,31
Thursday,5 PM,42
Thursday,6 PM,33
Thursday,7 PM,36
Thursday,8 PM,37
Thursday,9 PM,27
Thursday,10 PM,15
Thursday,11 PM,0
Friday,12 AM,21
Friday,1 AM,19
Friday,2 AM,18
Friday,3 AM,12
Friday,4 AM,5
Friday,5 AM,11
Friday,6 AM,14
Friday,7 AM,16
Friday,8 AM,41
Friday,9 AM,64
Friday,10 AM,72
Friday,11 AM,83
Friday,12 PM,86
Friday,1 PM,60
Friday,2 PM,69
Friday,3 PM,44
Friday,4 PM,45
Friday,5 PM,37
Friday,6 PM,34
Friday,7 PM,28
Friday,8 PM,41
Friday,9 PM,59
Friday,10 PM,65
Friday,11 PM,86
Saturday,12 AM,101
Saturday,1 AM,94
Saturday,2 AM,99
Saturday,3 AM,66
Saturday,4 AM,111
Saturday,5 AM,87
Saturday,6 AM,87
Saturday,7 AM,77
Saturday,8 AM,87
Saturday,9 AM,93
Saturday,10 AM,85
Saturday,11 AM,99
Saturday,12 PM,114
Saturday,1 PM,118
Saturday,2 PM,67
Saturday,3 PM,74
Saturday,4 PM,50
Saturday,5 PM,53
Saturday,6 PM,46
Saturday,7 PM,34
Saturday,8 PM,63
Saturday,9 PM,71
Saturday,10 PM,64
Saturday,11 PM,94
